Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
,,Cash,,10295.44,2024-12-31,,,,,0,0.0,Market Value Fallback,0.0,2024-01-15,2024-01-12
ABNB,,AIRBNB INC,10.0,1314.1,2024-12-31,,1430.0,140.99,133.67,136.9475,1369.47,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
BABA,,ALIBABA GROUP HLDG LTD F,10.0,847.9,2024-12-31,,980.6,73.43,69.3,71.26775,722.68,Holiday/Weekend Prorated,10.0,2024-01-15,2024-01-12
AMZN,,AMAZON.COM INC,70.0,15357.3,2024-12-31,,9112.45,156.2,152.15,154.33749999999998,10803.62,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
BX,,BLACKSTONE INC,16.0855,2773.46,2024-12-31,,1284.61,121.3,116.61,118.79374999999999,1910.86,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
FLG,,FLAGSTAR FINL INC,33.0,307.89,2024-12-31,,381.65,,,,0.0,No Data,0.0,2024-01-15,2024-01-12
META,,META PLATFORMS INC,45.1542,26438.24,2024-12-31,,13769.31,377.06,367.23,372.36,16813.62,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
MDB,,MONGODB INC,8.0,1862.48,2024-12-31,,2020.86,405.66,382.705,393.77125,3150.17,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
NVDA,,NVIDIA CORP,110.061,14780.09,2024-12-31,,6570.92,56.835,54.3301,55.258775,6081.84,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
CRM,,SALESFORCE INC,5.0,1671.65,2024-12-31,,650.0,275.24,267.72,271.39625,1356.98,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
SHAK,,SHAKE SHACK INC,20.0,2596.0,2024-12-31,,1375.6,67.795,65.21,66.28375,1325.67,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
SHOP,,SHOPIFY INC,13.0,1382.29,2024-12-31,,878.54,83.19,79.62,81.4875,1059.34,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
SNOW,,SNOWFLAKE INC,15.0,2316.15,2024-12-31,,2123.68,196.08,186.5736,190.770075,2861.55,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
TCOM,,TRIP COM GROUP LTD,19.0,1304.54,2024-12-31,,660.91,37.64,36.38,37.08125,704.54,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
UBER,,UBER TECHNOLOGIES INC,30.0,1809.6,2024-12-31,,1980.0,64.92,62.92,63.71,1911.3,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
SPXL,,DIREXION DAILY S&P 500,5.1354,866.34,2024-12-31,,765.06,105.48,101.82,103.685,532.46,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
TNA,,DIREXION DAILY SMALL CAP,100.8677,4224.34,2024-12-31,,4119.68,36.9,33.15,34.727325,3502.87,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
YINN,,DIREXION DLY FTSE CHNA,70.0,1955.8,2024-12-31,,3089.87,18.2603,15.83,17.052574999999997,1193.68,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
GPIX,,GOLDMAN SACHS S P 500,10.0,494.5,2024-12-31,,509.5,44.23,43.8599,44.0412,440.41,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
CLOA,,ISHARES AAA CLO ACTIVE,141.8302,7342.55,2024-12-31,,7197.63,51.5,51.4,51.4425,7296.1,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
IBIT,,ISHARES BITCOIN ETF,50.0,2652.5,2024-12-31,,1891.4,26.41,24.04,25.0155,1250.77,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
IVV,,ISHARES CORE S&P 500,9.2491,5444.76,2024-12-31,,4618.05,480.85,475.32,478.13250000000005,4422.3,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
BRLN,,ISHARES FLOATING RT LOAN,193.6446,10122.77,2024-12-31,,10082.55,53.055,52.78,52.88125,10240.17,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
TLT,,ISHARES 20 PLS YEAR,10.6349,928.75,2024-12-31,,1071.78,97.27,94.51,95.96000000000001,1020.53,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
IEF,,ISHARES 7-10 YEAR TRSURY,21.1242,1952.93,2024-12-31,,1997.11,96.48,95.315,95.944825,2026.76,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
JEPQ,,JP MORGAN NASDAQ EQT,124.7674,7034.39,2024-12-31,,6007.93,50.69,50.35,50.494575,6300.08,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
JAAA,,JANUS HENDERSON AAA CLO,44.3743,2250.22,2024-12-31,,2201.94,50.59,50.45,50.4975,2240.79,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
JBBB,,JANUS HENDERSON B BBB,78.4943,3858.78,2024-12-31,,3660.47,48.48,48.3423,48.395575,3798.78,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
JEPI,,JPMORGAN EQUITY PREMIUM,33.6586,1936.38,2024-12-31,,1836.8,55.37,55.01,55.21,1858.29,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
FNGU,,MICROSECTORS FANG+ INDEX,7.0,4085.13,2024-12-31,,2912.8,238.88,227.8401,233.977525,1637.84,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
URTY,,PROSHARES ULTRAPRO,40.477,1991.87,2024-12-31,,1955.07,43.44,39.01,40.8725,1654.4,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
TQQQ,,PROSHARES ULTRAPRO QQQ,16.8491,1333.27,2024-12-31,,1022.91,50.98,49.33,50.265,846.92,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
SCHD,,SCHWAB US DIVIDEND,47.2999,1292.23,2024-12-31,,1118.8,25.5517,25.1633,25.357924999999998,1199.43,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
CLOI,,VANECK CLO ETF,110.2023,5815.38,2024-12-31,,5713.02,52.4107,52.28,52.352875,5769.41,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
VTI,,VANGUARD TOTAL STOCK,21.049,6100.21,2024-12-31,,4831.85,238.37,235.1,236.70004999999998,4982.3,Holiday/Weekend Prorated,0.0,2024-01-15,2024-01-12
AVB,,AVALONBAY CMNTYS INC,10.6347,2339.31,2024-12-31,,1877.23,185.65,179.325,182.38125,1957.12,Holiday/Weekend Prorated,17.547255,2024-01-15,2024-01-12
