Ticker,Cusip,Description,Quantity,Statement Market Value,Statement Date,Date Acquired,Cost Basis,FMV High,FMV Low,FMV Avg,FMV Value,FMV Valuation Method,Dividends Accrued,FMV Valuation Date,Valuation Date Used
FLOT,,ISHARES TRUST FLTG RATE NT ETF,0.113,5.74,2021-01-31,,,50.65,50.59,50.6225,5.72,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
AGNC,,AGNC INVESTMENT CORP,842.261,13139.27,2021-01-31,2019-12-20,11895.14,10.0199,9.59,9.791225,8246.77,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BABA,,ALIBABA GROUP HOLDING LTD,30,7614.9,2021-01-31,2018-02-05,7453.5,77.635,74.51,76.25999999999999,2317.8,Holiday/Weekend Prorated,30.0,2024-01-01,2023-12-29
NLY,,ANNALY CAPITAL MANAGEMENT INC,859.982,6983.05,2021-01-31,2020-04-03,5817.8,19.805,19.08,19.408749999999998,17250.16,Holiday/Weekend Prorated,558.9883,2024-01-01,2023-12-29
AAPL,,APPLE INC,40.345,5323.93,2021-01-31,2015-06-29,1287.42,194.4,183.885,189.6125,7649.92,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
ARKK,,ARK ETF TR INNOVATION ETF,20.327,2793.74,2021-01-31,2020-10-12,2109.68,54.21,50.215,52.12625,1059.57,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
ARR,,ARMOUR RESIDENTIAL REIT INC,201.862,2254.8,2021-01-31,2020-11-18,2090.0,19.72,18.66,19.2225,3880.29,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BRK B,,BERKSHIRE HATHAWAY INC,19,4329.53,2021-01-31,2014-07-29,2673.33,,,,0.0,,0.0,2024-01-01,2023-12-29
BSM,,BLACK STONE MINERALS LP,57.933,494.17,2021-01-31,2019-12-10,704.58,16.2899,15.76,15.983725,925.99,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BX,,BLACKSTONE GROUP INC,36.379,2444.31,2021-01-31,2014-09-16,1270.5,133.24,126.77,130.01002499999998,4729.63,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
BTWN,,BRIDGETOWN HLDGS LTD,250,3410.0,2021-01-31,2020-12-16,3160.0,,,,0.0,,0.0,2024-01-01,2023-12-29
CIM,,CHIMERA INVESTMENT CORPORATION,62.863,634.92,2021-01-31,2010-11-05,1131.48,15.39,14.745,15.02625,951.51,Holiday/Weekend Prorated,6.91493,2024-01-01,2023-12-29
C,,CITIGROUP INC,15.571,902.96,2021-01-31,2009-10-27,506.52,53.15,51.19,51.79,806.42,Holiday/Weekend Prorated,0.0,2024-01-01,2023-12-29
FB,,FACEBOOK INC,50,12916.5,2021-01-31,2013-07-23,9088.0,,,,0.0,,0.0,2024-01-01,2023-12-29
